	PD_whole_tree	chao1	observed_otus
Sample.40.2	55.42633	904.75257732	589.0
Sample.40.1	69.98435	1258.62162162	822.0
Sample.103.2	91.29857	1678.0678733	1247.0
Sample.15.1	46.11851	1257.50526316	693.0
Sample.39.1	82.39766	1645.23076923	1092.0
Sample.39.2	77.44392	1480.12290503	1014.0
Sample.46.1	84.82942	1744.63076923	1110.0
Sample.59.1	36.68655	796.063157895	613.0
Sample.55.1	61.74214	1090.14851485	652.0
Sample.56.1	49.73815	976.7	640.0
Sample.8.2	96.25326	2207.44933921	1373.0
Sample.86.1	88.74689	1827.14173228	1336.0
Sample.55.2	52.82917	1146.04424779	700.0
Sample.107.1	60.00072	1396.38194444	912.0
Sample.62.1	47.51848	919.833333333	709.0
Sample.63.2	78.69564	1615.4893617	1118.0
Sample.96.2	92.96768	1816.0	1319.0
Sample.52.1	91.89568	1936.05063291	1322.0
Sample.52.2	83.51247	1835.93442623	1135.0
Sample.45.1	99.88752	2261.30416667	1454.0
Sample.45.2	92.16356	2012.95890411	1288.0
Sample.37.1	40.25134	647.227272727	427.0
Sample.83.2	94.90849	1994.73333333	1309.0
Sample.83.1	76.4044	1617.8	971.0
Sample.37.2	52.38108	1019.75	707.0
Sample.66.1	74.46902	1294.01785714	953.0
Sample.66.2	70.53107	1388.87919463	885.0
Sample.6.2	73.96119	1398.65934066	958.0
Sample.80.2	80.03167	1631.95811518	1124.0
Sample.80.1	70.5407	1276.96226415	884.0
Sample.100.1	95.6092	1854.05857741	1330.0
Sample.19.2	91.68825	1975.54032258	1406.0
Sample.96.1	76.44698	1426.79310345	917.0
Sample.2.2	76.98105	1573.88125	973.0
Sample.19.1	86.70281	1736.80597015	1172.0
Sample.73.2	87.62795	1958.63380282	1298.0
Sample.46.2	77.69478	1433.72289157	953.0
Sample.35.1	89.31071	1992.26395939	1259.0
Sample.35.2	109.8073	2350.95470383	1584.0
Sample.22.2	83.99686	1723.42857143	1126.0
Sample.24.1	77.20585	1718.81632653	1010.0
Sample.7.1	77.30751	1724.69230769	980.0
Sample.24.2	81.83181	1661.35057471	1036.0
Sample.7.2	83.27715	1974.70689655	1129.0
Sample.70.1	91.31229	1857.80136986	1401.0
Sample.38.1	73.14706	1654.08333333	992.0
Sample.75.2	70.78577	1589.35955056	1076.0
Sample.95.2	95.03638	1976.8671875	1372.0
Sample.20.2	66.34163	1346.42391304	953.0
Sample.10.1	68.72897	1635.38461538	960.0
Sample.33.1	55.24439	1176.48076923	820.0
Sample.33.2	57.62659	1250.62130178	883.0
Sample.86.2	81.61712	1744.04219409	1261.0
Sample.61.2	67.19326	1018.58219178	768.0
Sample.61.1	68.50708	878.225806452	780.0
Sample.87.1	45.10156	805.265486726	643.0
Sample.58.1	77.95956	1787.59659091	1172.0
Sample.98.1	69.28501	1354.05524862	983.0
Sample.1.1	77.89896	1590.09278351	1143.0
Sample.58.2	69.02939	1359.36464088	1020.0
Sample.72.1	59.51413	1222.62745098	828.0
Sample.6.1	86.57458	1750.29452055	1350.0
Sample.29.2	48.64831	1170.02112676	881.0
Sample.49.1	85.54908	1834.19354839	1150.0
Sample.63.1	63.08946	1320.80368098	902.0
Sample.2.1	87.31273	1803.41463415	1207.0
Sample.79.1	64.5694	1370.52	968.0
Sample.95.1	93.10729	1922.84255319	1364.0
Sample.90.1	72.96392	1435.40555556	1029.0
Sample.25.2	84.82905	1742.43930636	1064.0
Sample.38.2	66.08658	1450.224	865.0
Sample.17.1	83.44116	1783.87053571	1193.0
Sample.28.2	71.31545	1462.84313725	885.0
Sample.30.1	102.28361	2478.63983051	1529.0
Sample.34.1	66.4242	1474.57823129	929.0
Sample.31.2	42.75888	798.407407407	501.0
Sample.54.1	61.71963	998.392523364	669.0
Sample.41.1	64.37244	1151.04761905	766.0
Sample.44.2	90.10369	1875.203125	1134.0
Sample.53.1	59.46903	990.125	752.0
Sample.29.1	45.36137	965.417910448	735.0
Sample.53.2	66.61455	1171.00636943	860.0
Sample.42.1	78.65965	1576.64150943	1119.0
Sample.81.1	91.3196	2071.65737052	1405.0
Sample.1.2	51.1605	974.0	687.0
Sample.76.2	62.54821	1332.87412587	886.0
Sample.79.2	49.97651	889.568965517	634.0
Sample.41.2	86.63437	1774.47953216	1105.0
Sample.91.1	75.37198	1322.91935484	987.0
Sample.42.2	77.48767	1451.13793103	1060.0
Sample.77.1	68.89355	1248.86335404	876.0
Sample.23.1	81.88003	1563.71219512	1099.0
Sample.81.2	84.27378	1611.56338028	1154.0
Sample.107.2	62.13615	1401.38709677	922.0
Sample.98.2	64.42656	1245.56818182	939.0
Sample.72.2	53.9422	1173.17391304	801.0
Sample.69.1	50.34862	923.4	601.0
Sample.73.1	73.3463	1217.42937853	907.0
Sample.57.1	89.51349	1891.05976096	1400.0
Sample.28.1	81.66323	1795.86363636	1130.0
Sample.56.2	49.25652	949.613636364	567.0
Sample.18.2	44.0511	597.012987013	417.0
Sample.11.2	52.60073	891.239130435	569.0
Sample.8.1	65.52112	1308.26451613	851.0
Sample.76.1	56.34213	1071.51181102	716.0
Sample.11.1	42.13663	565.52173913	397.0
Sample.27.1	53.19848	1237.21875	682.0
Sample.9.2	82.65156	1504.01449275	1095.0
Sample.100.2	87.50827	1629.85074627	1190.0
Sample.5.2	45.20585	835.75	547.0
Sample.5.1	46.10474	916.623762376	601.0
Sample.48.2	89.67208	1791.45136187	1346.0
Sample.9.1	74.17166	1544.10948905	911.0
Sample.13.1	74.2471	1495.54255319	1043.0
Sample.10.2	64.95985	1392.24137931	893.0
Sample.91.2	68.8223	1316.72142857	837.0
Sample.14.1	38.8518	752.373333333	479.0
Sample.14.2	42.29708	1000.28282828	628.0
Sample.15.2	36.55862	772.584415584	493.0
Sample.3.2	79.71358	1624.71938776	1060.0
Sample.27.2	48.02251	937.027027027	629.0
Sample.90.2	64.03634	1240.85534591	889.0
Sample.18.1	56.08513	979.697247706	629.0
Sample.30.2	78.63669	1705.81632653	997.0
Sample.70.2	79.89517	1547.29319372	1080.0
Sample.17.2	78.89394	1634.11242604	1031.0
