# Constructed from biom file
#OTU ID	Sample.40.2	Sample.40.1	Sample.103.2	Sample.15.1	Sample.39.1	Sample.39.2	Sample.46.1	Sample.59.1	Sample.55.1	Sample.56.1	Sample.8.2	Sample.86.1	Sample.55.2	Sample.107.1	Sample.62.1	Sample.63.2	Sample.96.2	Sample.52.1	Sample.52.2	Sample.45.1	Sample.45.2	Sample.37.1	Sample.83.2	Sample.83.1	Sample.37.2	Sample.66.1	Sample.66.2	Sample.6.2	Sample.80.2	Sample.80.1	Sample.100.1	Sample.19.2	Sample.96.1	Sample.2.2	Sample.19.1	Sample.73.2	Sample.46.2	Sample.35.1	Sample.35.2	Sample.22.2	Sample.24.1	Sample.7.1	Sample.24.2	Sample.7.2	Sample.70.1	Sample.38.1	Sample.75.2	Sample.95.2	Sample.20.2	Sample.10.1	Sample.33.1	Sample.33.2	Sample.86.2	Sample.61.2	Sample.61.1	Sample.87.1	Sample.58.1	Sample.98.1	Sample.1.1	Sample.58.2	Sample.72.1	Sample.6.1	Sample.29.2	Sample.49.1	Sample.63.1	Sample.2.1	Sample.79.1	Sample.95.1	Sample.90.1	Sample.25.2	Sample.38.2	Sample.17.1	Sample.28.2	Sample.30.1	Sample.34.1	Sample.31.2	Sample.54.1	Sample.41.1	Sample.44.2	Sample.53.1	Sample.29.1	Sample.53.2	Sample.42.1	Sample.81.1	Sample.1.2	Sample.76.2	Sample.79.2	Sample.41.2	Sample.91.1	Sample.42.2	Sample.77.1	Sample.23.1	Sample.81.2	Sample.107.2	Sample.98.2	Sample.72.2	Sample.69.1	Sample.73.1	Sample.57.1	Sample.28.1	Sample.56.2	Sample.18.2	Sample.11.2	Sample.8.1	Sample.76.1	Sample.11.1	Sample.27.1	Sample.9.2	Sample.100.2	Sample.5.2	Sample.5.1	Sample.48.2	Sample.9.1	Sample.13.1	Sample.10.2	Sample.91.2	Sample.14.1	Sample.14.2	Sample.15.2	Sample.3.2	Sample.27.2	Sample.90.2	Sample.18.1	Sample.30.2	Sample.70.2	Sample.17.2	Sample.84.1	Sample.49.2	Sample.51.2	Sample.3.1	Sample.44.1	Sample.34.2	Sample.57.2	Sample.84.2	Sample.67.2	Sample.77.2	Sample.13.2	Sample.65.2	Sample.59.2	Sample.47.1	Sample.22.1	Sample.108.1	Sample.51.1	Sample.108.2	Sample.71.1	Sample.105.1	Sample.67.1	Sample.105.2	Sample.89.2	Sample.99.1	Sample.62.2	Sample.71.2	Sample.65.1	Sample.74.1	Sample.20.1	Sample.69.2	Sample.88.2	Sample.25.1	Sample.75.1	Sample.48.1	Sample.87.2	Sample.89.1	Sample.74.2	Sample.103.1	Sample.54.2	Sample.106.2	Sample.92.1	Sample.47.2	Sample.92.2	Sample.88.1	Sample.23.2	Sample.31.1	Sample.106.1	Sample.99.2	taxonomy
177792	0.0	1.0	8.0	1.0	25.0	14.0	7.0	0.0	0.0	6.0	37.0	26.0	0.0	11.0	0.0	14.0	32.0	12.0	8.0	37.0	51.0	3.0	9.0	9.0	1.0	0.0	0.0	0.0	3.0	3.0	7.0	5.0	18.0	30.0	3.0	2.0	4.0	20.0	37.0	13.0	6.0	29.0	8.0	64.0	8.0	89.0	51.0	19.0	4.0	10.0	17.0	27.0	52.0	18.0	23.0	15.0	18.0	1.0	6.0	42.0	4.0	7.0	23.0	6.0	15.0	38.0	11.0	8.0	44.0	6.0	10.0	21.0	9.0	20.0	2.0	1.0	2.0	1.0	9.0	55.0	14.0	27.0	21.0	5.0	19.0	3.0	2.0	15.0	4.0	4.0	6.0	9.0	12.0	5.0	1.0	1.0	2.0	4.0	17.0	18.0	4.0	5.0	2.0	4.0	5.0	2.0	10.0	9.0	4.0	3.0	5.0	4.0	1.0	10.0	2.0	3.0	1.0	2.0	2.0	6.0	6.0	1.0	8.0	1.0	12.0	5.0	2.0	1.0	1.0	3.0	2.0	1.0	1.0	2.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
337735	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	4.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	2.0	0.0	11.0	3.0	1.0	2.0	4.0	2.0	4.0	7.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__
193592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	5.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
4306262	0.0	0.0	2229.0	0.0	320.0	260.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	135.0	339.0	0.0	0.0	0.0	0.0	405.0	1157.0	0.0	0.0	4.0	0.0	400.0	59.0	43.0	758.0	0.0	6.0	1.0	76.0	0.0	621.0	26.0	10.0	1438.0	1.0	0.0	3092.0	82.0	84.0	214.0	0.0	0.0	401.0	3.0	7.0	0.0	0.0	0.0	161.0	0.0	0.0	1.0	0.0	77.0	18.0	0.0	0.0	26.0	9.0	10.0	0.0	0.0	0.0	86.0	0.0	0.0	0.0	0.0	1930.0	0.0	0.0	23.0	1.0	94.0	0.0	0.0	0.0	558.0	0.0	0.0	2025.0	0.0	4461.0	2.0	4707.0	0.0	0.0	0.0	40.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	159.0	0.0	0.0	105.0	8.0	414.0	0.0	200.0	303.0	1.0	0.0	0.0	0.0	0.0	0.0	1057.0	0.0	22.0	290.0	566.0	887.0	0.0	9.0	0.0	684.0	0.0	8.0	820.0	0.0	823.0	3.0	233.0	1.0	0.0	1735.0	43.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	108.0	0.0	80.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila
182674	0.0	2.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	3.0	0.0	5.0	11.0	0.0	0.0	10.0	5.0	1.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	2.0	4.0	3.0	0.0	1.0	0.0	14.0	3.0	0.0	2.0	9.0	3.0	17.0	7.0	8.0	1.0	1.0	0.0	0.0	6.0	4.0	10.0	6.0	6.0	1.0	5.0	1.0	3.0	11.0	5.0	0.0	3.0	2.0	8.0	3.0	0.0	2.0	5.0	3.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	10.0	3.0	9.0	5.0	1.0	3.0	1.0	0.0	1.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	7.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
310380	0.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	5.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	9.0	0.0	0.0	0.0	9.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	1.0	9.0	0.0	0.0	0.0	0.0	1.0	1.0	6.0	3.0	0.0	0.0	0.0	11.0	0.0	5.0	8.0	11.0	1.0	3.0	3.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	7.0	1.0	3.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	1.0	2.0	6.0	0.0	0.0	1.0	0.0	6.0	0.0	1.0	8.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	2.0	0.0	9.0	1.0	0.0	27.0	1.0	2.0	7.0	0.0	1.0	9.0	0.0	9.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	3.0	2.0	1.0	1.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__
2018038	0.0	0.0	0.0	20.0	0.0	1.0	21.0	6.0	5.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	7.0	0.0	1.0	7.0	6.0	17.0	0.0	0.0	0.0	0.0	3.0	1.0	7.0	1.0	3.0	6.0	5.0	5.0	3.0	0.0	0.0	0.0	0.0	10.0	0.0	1.0	6.0	5.0	0.0	0.0	0.0	0.0	4.0	4.0	0.0	7.0	0.0	2.0	0.0	1.0	37.0	2.0	0.0	0.0	1.0	7.0	0.0	1.0	0.0	13.0	0.0	0.0	3.0	0.0	5.0	7.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	27.0	3.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	3.0	1.0	5.0	10.0	3.0	9.0	6.0	0.0	2.0	2.0	0.0	4.0	5.0	0.0	0.0	0.0	1.0	7.0	3.0	19.0	0.0	22.0	0.0	0.0	1.0	0.0	0.0	10.0	3.0	0.0	3.0	16.0	1.0	17.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	0.0	37.0	1.0	0.0	0.0	0.0	18.0	0.0	3.0	0.0	5.0	0.0	3.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
185588	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	4.0	3.0	13.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	110.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	0.0	7.0	0.0	4.0	0.0	39.0	0.0	0.0	12.0	4.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	7.0	16.0	10.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	8.0	2.0	0.0	47.0	0.0	6.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	14.0	0.0	0.0	21.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
355102	0.0	0.0	0.0	0.0	1.0	1.0	0.0	4.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	1.0	7.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	7.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	6.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	5.0	0.0	0.0	1.0	1.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
180563	0.0	2.0	5.0	184.0	3.0	3.0	11.0	40.0	2.0	36.0	20.0	7.0	5.0	29.0	12.0	2.0	0.0	8.0	2.0	6.0	16.0	0.0	4.0	9.0	3.0	0.0	4.0	0.0	13.0	0.0	25.0	9.0	0.0	0.0	6.0	9.0	1.0	4.0	2.0	12.0	2.0	5.0	0.0	4.0	57.0	15.0	0.0	2.0	5.0	4.0	31.0	34.0	19.0	0.0	0.0	0.0	0.0	8.0	0.0	5.0	1.0	3.0	31.0	5.0	9.0	2.0	1.0	1.0	4.0	0.0	4.0	40.0	4.0	1.0	12.0	7.0	1.0	0.0	15.0	0.0	5.0	0.0	11.0	1.0	1.0	20.0	6.0	0.0	0.0	8.0	0.0	9.0	2.0	61.0	4.0	11.0	0.0	9.0	0.0	19.0	12.0	0.0	0.0	11.0	11.0	0.0	3.0	0.0	8.0	0.0	0.0	5.0	0.0	9.0	12.0	0.0	9.0	152.0	13.0	9.0	4.0	4.0	0.0	2.0	8.0	13.0	7.0	0.0	0.0	5.0	30.0	31.0	0.0	6.0	0.0	5.0	10.0	1.0	112.0	9.0	9.0	13.0	2.0	25.0	39.0	0.0	0.0	0.0	5.0	5.0	5.0	7.0	0.0	15.0	1.0	0.0	0.0	0.0	9.0	5.0	1.0	0.0	9.0	3.0	5.0	5.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
